DATE,AUINSA
1993-01-01,1315.7
1993-02-01,1387.4
1993-03-01,1420.9
1993-04-01,1426.3
1993-05-01,1432.0
1993-06-01,1415.8
1993-07-01,1403.2
1993-08-01,1413.2
1993-09-01,1390.7
1993-10-01,1360.5
1993-11-01,1364.3
1993-12-01,1377.3
1994-01-01,1382.8
1994-02-01,1367.1
1994-03-01,1381.0
1994-04-01,1343.4
1994-05-01,1383.6
1994-06-01,1416.0
1994-07-01,1454.6
1994-08-01,1428.4
1994-09-01,1428.3
1994-10-01,1436.5
1994-11-01,1432.1
1994-12-01,1445.3
1995-01-01,1532.8
1995-02-01,1605.0
1995-03-01,1677.2
1995-04-01,1708.1
1995-05-01,1718.7
1995-06-01,1705.5
1995-07-01,1728.5
1995-08-01,1666.7
1995-09-01,1650.0
1995-10-01,1685.7
1995-11-01,1679.1
1995-12-01,1629.8
1996-01-01,1622.7
1996-02-01,1613.3
1996-03-01,1419.3
1996-04-01,1435.3
1996-05-01,1413.4
1996-06-01,1454.9
1996-07-01,1527.0
1996-08-01,1545.9
1996-09-01,1540.7
1996-10-01,1471.0
1996-11-01,1454.2
1996-12-01,1422.6
1997-01-01,1393.8
1997-02-01,1402.0
1997-03-01,1391.9
1997-04-01,1379.5
1997-05-01,1367.1
1997-06-01,1381.4
1997-07-01,1422.0
1997-08-01,1395.3
1997-09-01,1400.9
1997-10-01,1400.2
1997-11-01,1409.6
1997-12-01,1399.7
1998-01-01,1427.4
1998-02-01,1439.0
1998-03-01,1451.3
1998-04-01,1438.5
1998-05-01,1396.2
1998-06-01,1289.1
1998-07-01,1196.4
1998-08-01,1306.0
1998-09-01,1332.9
1998-10-01,1340.0
1998-11-01,1371.9
1998-12-01,1369.7
1999-01-01,1410.8
1999-02-01,1399.1
1999-03-01,1405.0
1999-04-01,1404.3
1999-05-01,1393.2
1999-06-01,1378.1
1999-07-01,1356.8
1999-08-01,1349.7
1999-09-01,1346.4
1999-10-01,1385.1
1999-11-01,1403.4
1999-12-01,1406.6
2000-01-01,1370.1
2000-02-01,1306.4
2000-03-01,1305.2
2000-04-01,1321.4
2000-05-01,1322.8
2000-06-01,1346.7
2000-07-01,1367.1
2000-08-01,1381.8
2000-09-01,1411.1
2000-10-01,1412.8
2000-11-01,1416.5
2000-12-01,1397.2
2001-01-01,1348.0
2001-02-01,1256.4
2001-03-01,1234.2
2001-04-01,1179.9
2001-05-01,1164.2
2001-06-01,1152.9
2001-07-01,1122.9
2001-08-01,1145.3
2001-09-01,1121.5
2001-10-01,925.1
2001-11-01,898.7
2001-12-01,976.9
2002-01-01,1031.4
2002-02-01,1086.4
2002-03-01,1107.9
2002-04-01,1112.5
2002-05-01,1143.7
2002-06-01,1172.6
2002-07-01,1188.6
2002-08-01,1166.9
2002-09-01,1194.8
2002-10-01,1211.3
2002-11-01,1257.9
2002-12-01,1229.8
2003-01-01,1231.8
2003-02-01,1244.0
2003-03-01,1243.8
2003-04-01,1245.7
2003-05-01,1265.3
2003-06-01,1275.6
2003-07-01,1287.8
2003-08-01,1253.5
2003-09-01,1259.9
2003-10-01,1275.5
2003-11-01,1250.3
2003-12-01,1227.1
2004-01-01,1243.1
2004-02-01,1245.4
2004-03-01,1228.0
2004-04-01,1257.3
2004-05-01,1238.8
2004-06-01,1231.6
2004-07-01,1214.7
2004-08-01,1218.8
2004-09-01,1220.6
2004-10-01,1222.4
2004-11-01,1182.8
2004-12-01,1144.8
2005-01-01,1137.9
2005-02-01,1154.1
2005-03-01,1117.9
2005-04-01,1073.2
2005-05-01,1049.6
2005-06-01,1062.6
2005-07-01,1016.2
2005-08-01,993.9
2005-09-01,959.2
2005-10-01,979.4
2005-11-01,1004.5
2005-12-01,1012.2
2006-01-01,992.5
2006-02-01,1006.8
2006-03-01,1044.3
2006-04-01,1059.9
2006-05-01,1075.6
2006-06-01,1075.2
2006-07-01,1028.0
2006-08-01,1042.0
2006-09-01,1072.4
2006-10-01,1076.6
2006-11-01,1093.0
2006-12-01,1105.5
2007-01-01,1112.2
2007-02-01,1084.9
2007-03-01,1087.8
2007-04-01,1082.7
2007-05-01,1057.0
2007-06-01,1068.6
2007-07-01,1108.5
2007-08-01,1096.3
2007-09-01,1070.6
2007-10-01,1058.6
2007-11-01,1021.8
2007-12-01,985.3
2008-01-01,954.1
2008-02-01,949.2
2008-03-01,947.3
2008-04-01,946.9
2008-05-01,908.0
2008-06-01,908.5
2008-07-01,976.2
2008-08-01,1010.9
2008-09-01,1046.6
2008-10-01,1132.1
2008-11-01,1196.5
2008-12-01,1215.5
2009-01-01,1122.3
2009-02-01,1053.8
2009-03-01,1034.6
2009-04-01,1009.6
2009-05-01,960.1
2009-06-01,904.9
2009-07-01,823.9
2009-08-01,664.5
2009-09-01,717.2
2009-10-01,742.2
2009-11-01,748.9
2009-12-01,733.2
2010-01-01,743.0
2010-02-01,784.9
2010-03-01,779.5
2010-04-01,784.5
2010-05-01,805.3
2010-06-01,808.8
2010-07-01,814.6
2010-08-01,830.1
2010-09-01,842.1
2010-10-01,841.6
2010-11-01,843.9
2010-12-01,796.7
2011-01-01,794.6
2011-02-01,766.7
2011-03-01,737.5
2011-04-01,699.6
2011-05-01,695.0
2011-06-01,710.8
2011-07-01,721.3
2011-08-01,739.2
2011-09-01,733.5
2011-10-01,750.8
2011-11-01,775.6
2011-12-01,806.7
2012-01-01,859.6
2012-02-01,852.7
2012-03-01,852.2
